x,y,z,t
107.59146,-126.70732,73.07317,30.44314
85.04878,-192.93902,27.53049,30.54711
30.18902,-213.76219,-0.81098,30.65109
-72.00000,-164.77439,6.00610,30.75507
-148.85366,-159.81707,12.63414,30.85898
-184.92683,-61.29268,65.01829,30.96290
-197.95732,2.31707,102.45731,31.06685
-181.26829,102.67683,155.72561,31.17082
-97.24390,147.65854,158.26829,31.27479
-37.73780,178.67683,186.65244,31.37875
47.18293,133.47561,160.93293,31.48272
89.95122,100.81098,174.85366,31.58667
119.64025,29.12195,153.34146,31.69060
110.06098,-31.11586,134.35976,31.79454
90.54878,-116.92073,98.32317,31.89851
50.02439,-152.53049,58.03049,32.00247
-47.09756,-189.50000,45.02439,32.10642
-105.31707,-176.53049,25.25610,32.21035
-165.89634,-124.80488,33.74391,32.31426
-177.29878,-48.31098,56.75000,32.41822
-188.21341,29.21341,113.29269,32.52213
-135.77439,93.01219,118.43903,32.62606
-90.18293,115.43902,140.36585,32.73006
-13.65854,133.31707,150.72561,32.83405
44.28658,106.05488,156.80488,32.93808
94.75000,62.24390,145.53659,33.04204
119.00000,31.14634,152.13415,33.14596
117.94512,-13.79268,133.62195,33.24990
87.43292,-89.79878,113.58537,33.35386
62.48171,-132.39634,73.82317,33.45786
-3.64634,-150.02439,53.30488,33.56181
-116.38415,-158.05488,60.31098,33.66572
-178.33536,-105.53049,61.71951,33.76963
-229.04268,-32.59146,88.33537,33.87355
-256.09756,24.93902,119.43903,33.97746
-228.10366,62.78049,108.86586,34.08137
-101.98171,46.09756,70.42073,34.18529
-12.23171,-34.98780,66.25000,34.28920
71.25610,-116.95122,43.42073,34.39311
115.34756,-143.61585,12.99390,34.49703
105.29878,-138.10976,18.43903,34.60097
53.96342,-57.71342,7.95732,34.70493
-6.32927,68.18902,-13.20122,34.80880
-60.22561,180.92073,-28.79878,34.91449
-110.59146,225.61585,-4.91463,35.01839
-77.48171,189.84756,-5.57317,35.12226
-7.94512,94.48171,20.28049,35.22615
39.64024,-27.48780,45.65854,35.33007
76.09146,-137.15854,65.62195,35.43401
106.69512,-167.78049,57.13415,35.53791
65.82927,-117.89634,51.56098,35.64187
-24.27439,-4.17073,31.21342,35.74574
-76.21341,76.50610,39.04878,35.84964
-107.23171,157.17073,24.26220,35.95358
-129.37805,184.22561,7.07317,36.05761
-105.84756,153.46341,21.06098,36.16195
-17.78659,34.91463,25.51829,36.26602
61.17683,-45.87805,-0.06098,36.37008
108.02439,-135.55488,3.79878,36.47416
140.21341,-178.61585,14.94512,36.57810
121.24390,-159.91463,0.54878,36.68203
16.68293,-65.62195,-13.69512,36.78595
-68.25000,31.37805,-18.42683,36.88988
-120.76220,125.78049,-32.90854,36.99386
-150.58537,169.10976,-32.15854,37.09777
-116.14024,140.47561,-26.17683,37.20172
-30.10366,78.46951,13.50000,37.30566
59.60976,-3.58537,49.76220,37.41003
119.44512,-89.26829,61.89634,37.51413
156.90244,-126.10976,57.98781,37.61810
137.02439,-107.54268,48.85976,37.72207
85.95732,-71.34756,-9.71951,37.82610
-22.27439,9.87195,-52.90244,37.93005
-98.76829,86.93293,-56.86585,38.03399
-167.54878,122.41464,-55.18903,38.13793
-177.29878,125.76829,-48.78049,38.24188
-144.39634,103.64024,-3.63415,38.34585
-70.18902,32.44512,52.65854,38.45000
-6.50609,-62.15244,80.96951,38.55442
73.30488,-90.78049,78.40244,38.65839
107.98171,-96.23781,81.01220,38.76237
100.15244,-81.78049,66.84756,38.86634
62.39024,-39.51220,4.63415,38.97031
-23.00000,68.04878,-40.41463,39.07436
-92.13415,102.07927,-43.77439,39.17841
-165.90854,147.76219,-48.12195,39.28245
-165.18902,142.64024,-57.67683,39.38649
-136.57317,88.78658,-6.30488,39.49046
-20.42683,-37.97561,18.59146,39.59439
38.72561,-109.54268,45.10366,39.69832
109.57927,-162.53049,57.26829,39.80223
115.17073,-177.19512,80.40853,39.90613
82.12805,-121.46951,56.06707,40.01004
-40.68293,1.70732,54.08537,40.11394
-97.82927,62.01220,19.21951,40.21789
-143.71951,97.71341,8.67683,40.32184
-160.07317,133.95732,-12.35975,40.42576
-124.47561,98.19512,-9.21341,40.52972
-19.51829,18.04878,-17.82927,40.63364
-7.29268,-21.80488,-20.09756,40.73756
-24.03049,-41.93902,-38.29878,40.84148
-16.26829,-100.91463,-32.01220,40.94540
-1.94512,-119.80488,-32.29878,41.04930
-30.70732,-88.69512,0.95122,41.15320
39.03049,-53.28049,15.95732,41.25711
151.78659,-14.97561,17.98171,41.36103
175.17073,83.93293,17.66463,41.46497
89.75000,171.60366,-21.62805,41.56893
57.73781,169.23781,-94.14025,41.67286
-32.09756,148.97561,-124.30488,41.77678
-117.64024,77.23171,-144.49390,41.88071
-147.59756,-10.65854,-168.43903,41.98462
-18.28659,-114.59146,-164.26829,42.08854
38.60366,-160.89634,-131.39024,42.19245
109.08537,-157.04268,-87.77439,42.29648
190.78659,-92.69512,-64.71951,42.40048
201.35366,-39.29268,-50.75000,42.50452
102.07927,66.50000,-44.96951,42.60887
30.15854,141.48780,-72.15244,42.71301
-9.55488,138.88415,-119.14634,42.81695
-102.74390,87.23171,-110.94512,42.92090
-90.20732,4.12805,-108.04878,43.02477
-18.62805,-92.31707,-86.15244,43.12869
55.45732,-171.10366,-41.42683,43.23261
91.40854,-160.70732,3.51829,43.33650
188.74390,-111.03659,-18.87195,43.44047
201.40854,-5.79268,-39.28658,43.54446
145.69512,96.04878,-75.10366,43.64839
70.09756,164.08537,-111.18902,43.75234
2.24390,179.84756,-149.97561,43.85628
-78.87195,130.88414,-149.90244,43.96021
-80.34756,47.35366,-143.04268,44.06413
-31.78049,-65.86585,-91.91464,44.16805
55.09756,-95.35366,-61.05488,44.27201
142.54268,-116.91463,-30.54269,44.37593
172.93293,-67.35975,-0.87195,44.47984
156.43293,22.95122,2.32317,44.58382
67.64024,91.14024,-30.11586,44.68776
1.04268,115.01829,-58.94512,44.79170
