x,y,z,t
-2.19512,0.67073,0.15244,31.81564
-2.13415,0.73171,0.03049,31.91951
-2.10366,0.73171,0.00000,32.02338
-2.16463,0.79268,0.12195,32.12724
-2.01220,0.70122,0.06098,32.23115
-2.10366,0.76220,0.15244,32.33502
-2.10366,0.70122,0.03049,32.43888
-2.04268,0.60976,0.00000,32.54274
-2.04268,0.76220,0.06098,32.64680
-2.04268,0.70122,0.09146,32.75068
-2.13415,0.73171,0.09146,32.85457
-2.16463,0.73171,-0.03049,32.95846
-2.07317,0.70122,0.09146,33.06236
-2.16463,0.76220,0.00000,33.16624
-2.10366,0.67073,0.06098,33.27012
-2.01220,0.73171,-0.03049,33.37401
-2.10366,0.76220,0.12195,33.47793
-2.16463,0.82317,0.12195,33.58184
-2.10366,0.70122,0.03049,33.68577
-2.13415,0.67073,0.06098,33.78967
-2.07317,0.79268,0.06098,33.89362
-2.07317,0.70122,0.00000,33.99758
-2.01220,0.79268,0.12195,34.10156
-2.10366,0.73171,0.00000,34.20558
-2.10366,0.70122,0.24390,34.30953
-2.10366,0.76220,0.15244,34.41341
-2.07317,0.67073,0.06098,34.51731
-2.13415,0.70122,0.03049,34.62122
-2.04268,0.76220,0.03049,34.72510
-2.07317,0.64024,0.06098,34.82898
-2.10366,0.70122,0.18293,34.93285
-2.07317,0.64024,0.09146,35.03670
-2.01220,0.73171,-0.06098,35.14060
-2.16463,0.70122,0.09146,35.24449
-2.16463,0.79268,0.06098,35.34838
-2.13415,0.76220,0.03049,35.45222
-2.10366,0.79268,0.06098,35.55614
-2.04268,0.70122,0.06098,35.66003
-2.01220,0.79268,0.03049,35.76401
-2.01220,0.79268,0.06098,35.86793
-2.07317,0.79268,0.12195,35.97179
-2.07317,0.73171,0.00000,36.07564
-2.13415,0.79268,0.06098,36.17950
-2.04268,0.76220,0.06098,36.28336
-2.13415,0.73171,0.09146,36.38722
-2.13415,0.67073,0.00000,36.49108
-2.04268,0.73171,0.00000,36.59499
-2.10366,0.76220,0.03049,36.69884
-2.16463,0.73171,0.09146,36.80272
-2.07317,0.73171,0.15244,36.90663
-2.07317,0.76220,0.09146,37.01051
-2.10366,0.70122,0.06098,37.11447
-2.04268,0.70122,0.12195,37.21844
-2.10366,0.57927,0.03049,37.32241
-2.10366,0.73171,0.00000,37.42638
-2.10366,0.73171,0.15244,37.53029
-2.13415,0.70122,0.03049,37.63412
-2.04268,0.70122,0.06098,37.73794
-2.16463,0.67073,0.06098,37.84179
-2.10366,0.82317,0.03049,37.94562
-2.10366,0.70122,0.06098,38.04947
-1.98171,0.73171,0.06098,38.15333
-2.07317,0.73171,0.03049,38.25718
-2.10366,0.73171,0.09146,38.36103
-2.07317,0.70122,-0.09146,38.46488
-2.19512,0.67073,-7.80488,38.56870
-2.10366,0.64024,0.03049,38.67262
-2.07317,0.73171,0.00000,38.77654
-2.10366,0.64024,0.03049,38.88044
-2.13415,0.76220,0.09146,38.98431
-2.07317,0.70122,0.03049,39.08818
-2.13415,0.64024,0.12195,39.19203
-2.13415,0.73171,0.09146,39.29588
-2.07317,0.60976,0.03049,39.39975
-2.13415,0.73171,-0.06098,39.50362
-2.04268,0.70122,0.03049,39.60748
-2.04268,0.73171,0.06098,39.71135
