x,y,z,t
-2.07927,0.73171,0.00000,40.95833
-2.07317,0.71951,0.00000,41.06224
-2.07927,0.71342,0.01829,41.16612
-2.07927,0.68902,0.02439,41.27001
-2.08537,0.68293,0.03049,41.37390
-2.10366,0.68293,0.04268,41.47778
-2.09147,0.70732,0.07927,41.58168
-2.08537,0.71341,0.09756,41.68557
-2.08537,0.70732,0.09756,41.78943
-2.09147,0.71342,0.09146,41.89338
-2.08537,0.71951,0.06707,41.99732
-2.09756,0.68903,0.03659,42.10120
-2.10366,0.67683,0.01829,42.20509
-2.10366,0.70732,0.03658,42.30897
-2.09146,0.70732,0.03658,42.41286
-2.09756,0.69512,0.02439,42.51678
-2.07927,0.71951,-1.53049,42.62071
-2.05488,0.73171,-1.52439,42.72465
-2.05488,0.73781,-1.53659,42.82861
-2.04878,0.72561,0.01219,42.93261
-2.03659,0.71951,0.04878,43.03654
-2.04268,0.71341,1.62195,43.14048
-2.06098,0.71341,1.60976,43.24441
-2.04878,0.68293,1.62805,43.35173
-2.04878,0.70122,0.07927,43.45561
-2.04268,0.71341,0.06098,43.55949
-2.06098,0.71951,0.05488,43.66345
-2.06098,0.72561,0.03659,43.76744
-2.07317,0.72561,0.02439,43.87142
-2.09146,0.70732,0.04268,43.97540
-2.09146,0.71342,0.06707,44.07934
-2.09146,0.69512,0.07317,44.18325
-2.09146,0.68902,0.09756,44.28718
-2.09756,0.71951,0.09146,44.39108
-2.09146,0.73171,0.07927,44.49498
-2.10366,0.71341,0.08537,44.59889
-2.09756,0.73171,0.09756,44.70278
-2.08537,0.75610,0.09756,44.80671
-2.08537,0.75610,0.08537,44.91060
-2.09146,0.74390,0.07927,45.01449
-2.08537,0.75610,0.05488,45.11837
-2.07317,0.75000,0.04878,45.22226
-2.07317,0.72561,0.03049,45.32615
-2.09146,0.71342,0.04268,45.43004
-2.07317,0.71342,0.04268,45.53391
-2.07317,0.71342,0.03659,45.63783
-2.09756,0.72561,0.03659,45.74178
-2.09756,0.71951,0.04878,45.84576
-2.07927,0.71951,0.04268,45.94965
-2.09756,0.71951,0.03049,46.05354
-2.12805,0.71951,0.04268,46.15743
-2.13415,0.69512,0.05488,46.26133
-2.15244,0.66463,0.06097,46.36522
-2.16463,0.67073,1.61585,46.47174
-2.17073,0.66463,1.62195,46.57560
-2.14634,0.64024,1.60976,46.67951
-2.10976,0.64634,1.59146,46.78338
-2.09756,0.67683,1.57927,46.88733
-2.07927,0.66463,0.01220,46.99129
-2.07317,0.68902,-1.54878,47.09528
-2.07317,0.73171,-1.53049,47.19937
-2.10976,0.75000,-1.53049,47.30325
-2.11585,0.75610,-1.51829,47.40714
-2.12805,0.76219,-1.50610,47.51102
-2.11585,0.76219,0.06098,47.61491
-2.10976,0.73780,0.04268,47.71884
-2.09756,0.74390,0.05488,47.82278
-2.10366,0.74390,0.03659,47.92671
-2.09146,0.73780,0.03659,48.03060
-2.10366,0.72561,0.04268,48.13448
-2.11586,0.73171,0.04878,48.23837
-2.11586,0.70732,0.03049,48.34226
-2.11586,0.71951,0.04878,48.44616
-2.10976,0.71951,0.05488,48.55004
-2.09756,0.73171,0.04878,48.65394
-2.08537,0.73171,0.04878,48.75850
-2.07317,0.73171,0.06707,48.86259
-2.06707,0.72561,0.07927,48.96650
-2.07317,0.72561,0.08537,49.07040
-2.07317,0.69512,0.07927,49.17430
-2.08537,0.67073,0.10366,49.27826
-2.10366,0.68902,0.09147,49.38222
-2.10976,0.65244,0.09147,49.48613
-2.11586,0.63415,0.10976,49.59005
-2.12805,0.65244,0.12195,49.69398
-2.12195,0.68293,0.10976,49.79789
-2.10976,0.68293,0.09756,49.90182
-2.09146,0.70122,0.09146,50.00577
-2.09756,0.72561,0.08537,50.10979
-2.08537,0.72561,0.09756,50.21378
-2.08537,0.71951,0.08537,50.31788
-2.08537,0.71342,0.10366,50.42186
-2.09146,0.71951,0.08537,50.52585
-2.06707,0.71951,0.07317,50.63225
-2.09146,0.72561,0.07317,50.74023
-2.07927,0.74390,0.09756,50.84824
-2.08537,0.72561,0.09756,50.95221
-2.10366,0.73171,0.10366,51.05976
-2.12805,0.73171,0.09756,51.16774
